code,name,swatch,iscool
O57-078-063,Resene Dark Buff,jpegs/Resene_Dark_Buff.jpg,true
G46-012-198,Resene Dark Slate,jpegs/Resene_Dark_Slate.jpg,true
R37-059-029,Resene Dark Tan,jpegs/Resene_Dark_Tan.jpg,true
N69-004-123,Resene Delta,jpegs/Resene_Delta.jpg,true
N30-006-032,Resene Diesel,jpegs/Resene_Diesel.jpg,true
BR49-024-061,Resene Domino,jpegs/Resene_Domino.jpg,true
BR45-009-002,Resene Don Juan,jpegs/Resene_Don_Juan.jpg,true
BR57-027-064,Resene Donkey Brown,jpegs/Resene_Donkey_Brown.jpg,true
BR53-024-079,Resene Double Arrowtown,jpegs/Resene_Double_Arrowtown.jpg,true
G72-016-092,Resene Double Ash,jpegs/Resene_Double_Ash.jpg,true
Y85-019-079,Resene Double Blanc,jpegs/Resene_Double_Blanc.jpg,true
BR46-024-045,Resene Double Buffalo,jpegs/Resene_Double_Buffalo.jpg,true
BR30-012-013,Resene Double Caffeine,jpegs/Resene_Double_Caffeine.jpg,true
BR68-044-073,Resene Double Doeskin,jpegs/Resene_Double_Doeskin.jpg,true
BR70-032-073,Resene Double Drought,jpegs/Resene_Double_Drought.jpg,true
Y56-014-084,Resene Double Friar Grey,jpegs/Resene_Double_Friar_Grey.jpg,true
N37-005-114,Resene Double Gravel,jpegs/Resene_Double_Gravel.jpg,true
G64-022-101,Resene Double Lemon Grass,jpegs/Resene_Double_Lemon_Grass.jpg,true
G73-020-096,Resene Double Linen,jpegs/Resene_Double_Linen.jpg,true
BR62-023-078,Resene Double Napa,jpegs/Resene_Double_Napa.jpg,true
Y70-037-081,Resene Double Pavlova,jpegs/Resene_Double_Pavlova.jpg,true
N74-002-022,Resene Double Rakaia,jpegs/Resene_Double_Rakaia.jpg,true
V30-010-291,Resene Double Revolver,jpegs/Resene_Double_Revolver.jpg,true
BR54-014-073,Resene Double Stonehenge,jpegs/Resene_Double_Stonehenge.jpg,true
Y51-024-082,Resene Double Stonewall,jpegs/Resene_Double_Stonewall.jpg,true
Y74-020-081,Resene Double Tea,jpegs/Resene_Double_Tea.jpg,true
N83-006-043,Resene Dover White,jpegs/Resene_Dover_White.jpg,true
WD011,Resene Downriver,jpegs/Resene_Downriver.jpg,true
BR76-028-076,Resene Drought,jpegs/Resene_Drought.jpg,true
BR43-047-059,Resene Drumbeat,jpegs/Resene_Drumbeat.jpg,true
B77-030-264,Resene Squirt,jpegs/Resene_Squirt.jpg,true
N36-006-001,Resene Eclipse,jpegs/Resene_Eclipse.jpg,true
V71-016-304,Resene Effortless,jpegs/Resene_Effortless.jpg,true
BR73-011-034,Resene Eighth Buffalo,jpegs/Resene_Eighth_Buffalo.jpg,true
Y88-023-082,Resene Eighth Canterbury Clay,jpegs/Resene_Eighth_Canterbury_Clay.jpg,true
N64-005-121,Resene Eighth Gravel,jpegs/Resene_Eighth_Gravel.jpg,true
G86-018-094,Resene Eighth Hillary,jpegs/Resene_Eighth_Hillary.jpg,true
BR64-014-075,Resene Eighth Mondo,jpegs/Resene_Eighth_Mondo.jpg,true
Y81-011-079,Resene Eighth Pravda,jpegs/Resene_Eighth_Pravda.jpg,true
N79-006-075,Resene Eighth Stonehenge,jpegs/Resene_Eighth_Stonehenge.jpg,true
Y76-014-083,Resene Eighth Stonewall,jpegs/Resene_Eighth_Stonewall.jpg,true
N90-007-078,Resene Eighth Truffle,jpegs/Resene_Eighth_Truffle.jpg,true
B62-009-256,Resene Eighth Tuna,jpegs/Resene_Eighth_Tuna.jpg,true
G79-010-170,Resene Emerge,jpegs/Resene_Emerge.jpg,true
WW8,Resene English Walnut,jpegs/Resene_English_Walnut.jpg,true
B46-040-283,Resene Enigma,jpegs/Resene_Enigma.jpg,true
G30-008-118,Resene Eternity,jpegs/Resene_Eternity.jpg,true
G52-018-096,Resene Evolution,jpegs/Resene_Evolution.jpg,true
B43-024-232,Resene Explorer,jpegs/Resene_Explorer.jpg,true
G89-012-119,Resene Feta,jpegs/Resene_Feta.jpg,true
G37-040-133,Resene Feverpitch,jpegs/Resene_Feverpitch.jpg,true
Y52-083-084,Resene Fiddlesticks,jpegs/Resene_Fiddlesticks.jpg,true
BR78-049-063,Resene Flesh,jpegs/Resene_Flesh.jpg,true
V83-035-325,Resene Flower Power,jpegs/Resene_Flower_Power.jpg,true
B76-010-243,Resene Forecast,jpegs/Resene_Forecast.jpg,true
G37-022-140,Resene Forest Green,jpegs/Resene_Forest_Green.jpg,true
Y62-010-086,Resene Friar Grey,jpegs/Resene_Friar_Grey.jpg,true
G40-021-185,Resene Gable Green,jpegs/Resene_Gable_Green.jpg,true
B33-047-278,Resene Galactica,jpegs/Resene_Galactica.jpg,true
N57-006-087,Resene Gauntlet,jpegs/Resene_Gauntlet.jpg,true
G49-031-149,Resene Gecko,jpegs/Resene_Gecko.jpg,true
N85-004-213,Resene Geyser,jpegs/Resene_Geyser.jpg,true
O68-061-068,Resene Gold Coast,jpegs/Resene_Gold_Coast.jpg,true
B63-029-222,Resene Gothic,jpegs/Resene_Gothic.jpg,true
G44-089-153,Resene Grass Stain,jpegs/Resene_Grass_Stain.jpg,true
G34-021-095,Resene Grasslands,jpegs/Resene_Grasslands.jpg,true
G80-038-104,Resene Green Mist,jpegs/Resene_Green_Mist.jpg,true
N73-006-251,Resene Grey Chateau,jpegs/Resene_Grey_Chateau.jpg,true
Y70-027-089,Resene Grey Olive,jpegs/Resene_Grey_Olive.jpg,true
B32-011-234,Resene Gunmetal,jpegs/Resene_Gunmetal.jpg,true
N60-005-127,Resene Gunsmoke,jpegs/Resene_Gunsmoke.jpg,true
B45-019-268,Resene Haast Shale,jpegs/Resene_Haast_Shale.jpg,true
Y91-010-082,Resene Half Albescent White,jpegs/Resene_Half_Albescent_White.jpg,true
Y67-019-084,Resene Half Arrowtown,jpegs/Resene_Half_Arrowtown.jpg,true
N33-002-017,Resene Half Bokara Grey,jpegs/Resene_Half_Bokara_Grey.jpg,true
N88-008-258,Resene Half Breathless,jpegs/Resene_Half_Breathless.jpg,true
BR69-039-080,Resene Half Colins Wicket,jpegs/Resene_Half_Colins_Wicket.jpg,true
G76-011-122,Resene Half Delta,jpegs/Resene_Half_Delta.jpg,true
