G63-014-149,Resene Blue Smoke,jpegs/Resene_Blue_Smoke.jpg,true
G47-064-191,Resene Blue Stone,jpegs/Resene_Blue_Stone.jpg,false
R57-080-010,Resene Blush,jpegs/Resene_Blush.jpg,false
BR64-056-079,Resene Boardwalk,jpegs/Resene_Boardwalk.jpg,false
N28-005-068,Resene Bokara Grey,jpegs/Resene_Bokara_Grey.jpg,true
G79-015-099,Resene Bone White,jpegs/Resene_Bone_White.jpg,true
R45-110-038,Resene Bonfire,jpegs/Resene_Bonfire.jpg,true
N61-006-148,Resene Boulder,jpegs/Resene_Boulder.jpg,true
R68-042-037,Resene Brandy Rose,jpegs/Resene_Brandy_Rose.jpg,false
Y52-083-071,Resene Brazil,jpegs/Resene_Brazil.jpg,true
G56-035-195,Resene Breaker Bay,jpegs/Resene_Breaker_Bay.jpg,false
R35-059-018,Resene Breakfree,jpegs/Resene_Breakfree.jpg,false
M47-006-264,Resene Bright Grey,jpegs/Resene_Bright_Grey.jpg,false
G85-160-095,Resene Bright Lights,jpegs/Resene_Bright_Lights.jpg,false
BR37-024-062,Resene Bronze,jpegs/Resene_Bronze.jpg,true
Y44-046-084,Resene Bronze Olive,jpegs/Resene_Bronze_Olive.jpg,true
Y44-044-085,Resene Bronzetone,jpegs/Resene_Bronzetone.jpg,true
Y87-185-088,Resene Broom,jpegs/Resene_Broom.jpg,false
R43-030-022,Resene Brunette,jpegs/Resene_Brunette.jpg,false
Y87-016-090,Resene Thorndon Cream,jpegs/Resene_Thorndon_Cream.jpg,false
O45-068-053,Resene Bull Shot,jpegs/Resene_Bull_Shot.jpg,true
M67-080-068,Resene Bullion,jpegs/Resene_Bullion.jpg,false
N30-006-253,Resene Bunker,jpegs/Resene_Bunker.jpg,true
B32-030-265,Resene Bunting,jpegs/Resene_Bunting.jpg,true
G35-028-166,Resene Bush,jpegs/Resene_Bush.jpg,true
WW0812,Resene Bushtrack,jpegs/Resene_Bushtrack.jpg,true
Y95-015-090,Resene Buttery White,jpegs/Resene_Buttery_White.jpg,false
1B66,Resene Blue Night,jpegs/Resene_Blue_Night.jpg,false
R32-028-015,Resene Cab Sav,jpegs/Resene_Cab_Sav.jpg,true
V22-013-354,Resene Caffeine,jpegs/Resene_Caffeine.jpg,true
R38-061-031,Resene Cajun,jpegs/Resene_Cajun.jpg,false
BR71-055-063,Resene Calibre,jpegs/Resene_Calibre.jpg,true
BR79-054-075,Resene Calico,jpegs/Resene_Calico.jpg,false
Y41-032-088,Resene Camouflage,jpegs/Resene_Camouflage.jpg,false
G36-033-117,Resene Campground,jpegs/Resene_Campground.jpg,true
R72-049-007,Resene Can Can,jpegs/Resene_Can_Can.jpg,false
BR78-045-078,Resene Canterbury Clay,jpegs/Resene_Canterbury_Clay.jpg,true
Y90-061-074,Resene Caramel,jpegs/Resene_Caramel.jpg,false
G89-010-157,Resene Carefree,jpegs/Resene_Carefree.jpg,true
R75-032-013,Resene Careys Pink,jpegs/Resene_Careys_Pink.jpg,false
Y67-029-083,Resene Cargo,jpegs/Resene_Cargo.jpg,true
BR78-038-061,Resene Cashmere,jpegs/Resene_Cashmere.jpg,true
B77-010-230,Resene Casper,jpegs/Resene_Casper.jpg,true
BR71-034-078,Resene Castaway,jpegs/Resene_Castaway.jpg,true
N90-008-126,Resene Catskill White,jpegs/Resene_Catskill_White.jpg,false
B39-018-280,Resene Catwalk,jpegs/Resene_Catwalk.jpg,true
BR34-009-020,Resene Cave Rock,jpegs/Resene_Cave_Rock.jpg,true
B43-028-245,Resene Cello,jpegs/Resene_Cello.jpg,true
G36-020-170,Resene Celtic,jpegs/Resene_Celtic.jpg,true
Y84-066-081,Resene Chalky,jpegs/Resene_Chalky.jpg,false
B48-043-265,Resene Chambray,jpegs/Resene_Chambray.jpg,true
G74-096-113,Resene Chameleon,jpegs/Resene_Chameleon.jpg,false
Y86-052-079,Resene Chamois,jpegs/Resene_Chamois.jpg,false
B87-041-214,Resene Charlotte,jpegs/Resene_Charlotte.jpg,false
R68-066-005,Resene Charm,jpegs/Resene_Charm.jpg,false
G63-098-149,Resene Chateau Green,jpegs/Resene_Chateau_Green.jpg,false
V75-014-303,Resene Chatelle,jpegs/Resene_Chatelle.jpg,true
T10CW51,Resene Cherrywood,jpegs/Resene_Cherrywood.jpg,false
R91-019-002,Resene Cherub,jpegs/Resene_Cherub.jpg,false
B60-084-279,Resene Chetwode Blue,jpegs/Resene_Chetwode_Blue.jpg,false
N25-002-289,Resene Chimney Sweep,jpegs/Resene_Chimney_Sweep.jpg,true
G95-025-093,Resene China Ivory,jpegs/Resene_China_Ivory.jpg,false
Y75-038-086,Resene Chino,jpegs/Resene_Chino.jpg,true
R52-106-030,Resene Cincinnati,jpegs/Resene_Cincinnati.jpg,false
N28-008-243,Resene Cinder,jpegs/Resene_Cinder.jpg,true
G75-168-102,Resene Citrus,jpegs/Resene_Citrus.jpg,false
G33-034-188,Resene City Limits,jpegs/Resene_City_Limits.jpg,true
10CW32,Resene Clairvoyant,jpegs/Resene_Clairvoyant.jpg,false
BR37-029-068,Resene Clinker,jpegs/Resene_Clinker.jpg,true
O59-135-056,Resene Clockwork Orange,jpegs/Resene_Clockwork_Orange.jpg,false
G43-044-119,Resene Clover,jpegs/Resene_Clover.jpg,true
R36-024-030,Resene Cocoa Bean,jpegs/Resene_Cocoa_Bean.jpg,true
BR32-019-058,Resene Cocoa Brown,jpegs/Resene_Cocoa_Brown.jpg,true
G90-027-091,Resene Coconut Cream,jpegs/Resene_Coconut_Cream.jpg,false
BR33-023-065,Resene Cola,jpegs/Resene_Cola.jpg,true
V71-052-295,Resene Cold Purple,jpegs/Resene_Cold_Purple.jpg,true
R80-015-023,Resene Cold Turkey,jpegs/Resene_Cold_Turkey.jpg,true
BR63-043-079,Resene Colins Wicket,jpegs/Resene_Colins_Wicket.jpg,true
Y89-043-083,Resene Colonial White,jpegs/Resene_Colonial_White.jpg,false
N87-002-093,Resene Concrete,jpegs/Resene_Concrete.jpg,true
O82-094-067,Resene Consuela,jpegs/Resene_Consuela.jpg,false
R65-067-031,Resene Contessa,jpegs/Resene_Contessa.jpg,false
R33-031-016,Resene Contraband,jpegs/Resene_Contraband.jpg,true
V30-028-351,Resene Conundrum,jpegs/Resene_Conundrum.jpg,false
G78-010-098,Resene Copyrite,jpegs/Resene_Copyrite.jpg,true
BR78-031-078,Resene Coral,jpegs/Resene_Coral.jpg,false
G95-040-097,Resene Corn Field,jpegs/Resene_Corn_Field.jpg,false
Y58-089-080,Resene Corn Harvest,jpegs/Resene_Corn_Harvest.jpg,false
R84-067-033,Resene Cornflower,jpegs/Resene_Cornflower.jpg,false
Y73-019-081,Resene Cougar,jpegs/Resene_Cougar.jpg,true
R43-098-039,Resene Countdown,jpegs/Resene_Countdown.jpg,false
G37-047-164,Resene County Green,jpegs/Resene_County_Green.jpg,true
R32-034-017,Resene Courage,jpegs/Resene_Courage.jpg,true
V37-018-345,Resene Couture,jpegs/Resene_Couture.jpg,true
R55-079-038,Resene Crail,jpegs/Resene_Crail.jpg,false
R53-084-002,Resene Cranberry,jpegs/Resene_Cranberry.jpg,false
R50-141-025,Resene Crash Hot,jpegs/Resene_Crash_Hot.jpg,false
WD001,Resene Crowshead,jpegs/Resene_Crowshead.jpg,true
10CW52,Resene Crowshead,jpegs/Resene_Crowshead.jpg,false
G89-032-182,Resene Cruise,jpegs/Resene_Cruise.jpg,false
B60-045-261,Resene Cruising,jpegs/Resene_Cruising.jpg,false
BR79-040-076,Resene Crusade,jpegs/Resene_Crusade.jpg,true
B85-012-208,Resene Cut Glass,jpegs/Resene_Cut_Glass.jpg,false
G58-031-173,Resene Cutty Sark,jpegs/Resene_Cutty_Sark.jpg,false
1B23,Resene Cobalt,jpegs/Resene_Cobalt.jpg,false
WD015,Resene Daintree,jpegs/Resene_Daintree.jpg,true
Y87-045-077,Resene Dairy Cream,jpegs/Resene_Dairy_Cream.jpg,false
O57-163-043,Resene Daredevil,jpegs/Resene_Daredevil.jpg,false
O57-078-063,Resene Dark Buff,jpegs/Resene_Dark_Buff.jpg,true
G46-012-198,Resene Dark Slate,jpegs/Resene_Dark_Slate.jpg,true
R37-059-029,Resene Dark Tan,jpegs/Resene_Dark_Tan.jpg,true
B37-091-284,Resene Decadence,jpegs/Resene_Decadence.jpg,false
G56-079-176,Resene Deep Sea,jpegs/Resene_Deep_Sea.jpg,false
B38-044-211,Resene Deep South,jpegs/Resene_Deep_South.jpg,false
M51-009-077,Resene Deep Space,jpegs/Resene_Deep_Space.jpg,false
N69-004-123,Resene Delta,jpegs/Resene_Delta.jpg,true
B71-053-258,Resene Delta Blue,jpegs/Resene_Delta_Blue.jpg,false
R60-126-022,Resene Desire,jpegs/Resene_Desire.jpg,false
N30-006-032,Resene Diesel,jpegs/Resene_Diesel.jpg,true
BR49-024-061,Resene Domino,jpegs/Resene_Domino.jpg,true
BR45-009-002,Resene Don Juan,jpegs/Resene_Don_Juan.jpg,true
BR57-027-064,Resene Donkey Brown,jpegs/Resene_Donkey_Brown.jpg,true
BR53-024-079,Resene Double Arrowtown,jpegs/Resene_Double_Arrowtown.jpg,true
G72-016-092,Resene Double Ash,jpegs/Resene_Double_Ash.jpg,true
Y85-019-079,Resene Double Blanc,jpegs/Resene_Double_Blanc.jpg,true
BR46-024-045,Resene Double Buffalo,jpegs/Resene_Double_Buffalo.jpg,true
BR30-012-013,Resene Double Caffeine,jpegs/Resene_Double_Caffeine.jpg,true
BR68-044-073,Resene Double Doeskin,jpegs/Resene_Double_Doeskin.jpg,true
BR70-032-073,Resene Double Drought,jpegs/Resene_Double_Drought.jpg,true
Y56-014-084,Resene Double Friar Grey,jpegs/Resene_Double_Friar_Grey.jpg,true
N37-005-114,Resene Double Gravel,jpegs/Resene_Double_Gravel.jpg,true
G64-022-101,Resene Double Lemon Grass,jpegs/Resene_Double_Lemon_Grass.jpg,true
G73-020-096,Resene Double Linen,jpegs/Resene_Double_Linen.jpg,true
BR62-023-078,Resene Double Napa,jpegs/Resene_Double_Napa.jpg,true
Y70-037-081,Resene Double Pavlova,jpegs/Resene_Double_Pavlova.jpg,true
Y92-024-085,Resene Double Pearl Lusta,jpegs/Resene_Double_Pearl_Lusta.jpg,false
N74-002-022,Resene Double Rakaia,jpegs/Resene_Double_Rakaia.jpg,true
B32-079-273,Resene Double Resolution Blue,jpegs/Resene_Double_Resolution_Blue.jpg,false
V30-010-291,Resene Double Revolver,jpegs/Resene_Double_Revolver.jpg,true
G91-012-091,Resene Double Rice Cake,jpegs/Resene_Double_Rice_Cake.jpg,false
Y84-029-081,Resene Double Spanish White,jpegs/Resene_Double_Spanish_White.jpg,false
BR54-014-073,Resene Double Stonehenge,jpegs/Resene_Double_Stonehenge.jpg,true
Y51-024-082,Resene Double Stonewall,jpegs/Resene_Double_Stonewall.jpg,true
Y74-020-081,Resene Double Tea,jpegs/Resene_Double_Tea.jpg,true
Y84-019-089,Resene Double Thorndon Cream,jpegs/Resene_Double_Thorndon_Cream.jpg,false
N83-006-043,Resene Dover White,jpegs/Resene_Dover_White.jpg,true
WD011,Resene Downriver,jpegs/Resene_Downriver.jpg,true
G80-066-182,Resene Downy,jpegs/Resene_Downy.jpg,false
BR76-028-076,Resene Drought,jpegs/Resene_Drought.jpg,true
Y92-064-090,Resene Drover,jpegs/Resene_Drover.jpg,false
BR43-047-059,Resene Drumbeat,jpegs/Resene_Drumbeat.jpg,true
Y93-034-082,Resene Dutch White,jpegs/Resene_Dutch_White.jpg,false
R37-085-029,Resene Dynamite,jpegs/Resene_Dynamite.jpg,false
G75-021-093,Resene Eagle,jpegs/Resene_Eagle.jpg,false
G72-139-091,Resene Earls Green,jpegs/Resene_Earls_Green.jpg,false
B77-030-264,Resene Squirt,jpegs/Resene_Squirt.jpg,true
N36-006-001,Resene Eclipse,jpegs/Resene_Eclipse.jpg,true
G88-016-094,Resene Joanna,jpegs/Resene_Joanna.jpg,false
V71-016-304,Resene Effortless,jpegs/Resene_Effortless.jpg,true
